vulnerability_id,intensity_bin_id,damage_bin_id,probability
1.0,1,2,0.2672413793103448
1.0,1,3,0.35344827586206895
1.0,1,4,0.3793103448275862
1.0,2,2,0.030612244897959183
1.0,2,3,0.32653061224489793
1.0,2,4,0.3673469387755102
1.0,2,5,0.2755102040816326
1.0,3,3,0.09411764705882353
1.0,3,4,0.32941176470588235
1.0,3,5,0.36470588235294116
1.0,3,6,0.21176470588235294
1.0,4,4,0.2
1.0,4,5,0.26666666666666666
1.0,4,6,0.49523809523809526
1.0,4,7,0.0380952380952381
1.0,5,4,0.058333333333333334
1.0,5,5,0.3
1.0,5,6,0.3416666666666667
1.0,5,7,0.3
1.0,6,5,0.052083333333333336
1.0,6,6,0.2916666666666667
1.0,6,7,0.3645833333333333
1.0,6,8,0.2916666666666667
1.0,7,6,0.1619047619047619
1.0,7,7,0.3238095238095238
1.0,7,8,0.5142857142857142
1.0,8,6,0.09090909090909091
1.0,8,7,0.2545454545454545
1.0,8,8,0.44545454545454544
1.0,8,9,0.20909090909090908
1.0,9,6,0.04040404040404041
1.0,9,7,0.20202020202020202
1.0,9,8,0.48484848484848486
1.0,9,9,0.2727272727272727
1.0,10,7,0.15315315315315314
1.0,10,8,0.3333333333333333
1.0,10,9,0.5135135135135135
1.0,11,7,0.14736842105263157
1.0,11,8,0.22105263157894736
1.0,11,9,0.631578947368421
1.0,12,7,0.058823529411764705
1.0,12,8,0.22549019607843138
1.0,12,9,0.5098039215686274
1.0,12,10,0.20588235294117646
1.0,13,7,0.05172413793103448
1.0,13,8,0.25862068965517243
1.0,13,9,0.3879310344827586
1.0,13,10,0.3017241379310345
1.0,14,7,0.02912621359223301
1.0,14,8,0.07766990291262135
1.0,14,9,0.32038834951456313
1.0,14,10,0.5728155339805825
1.0,15,8,0.0990990990990991
1.0,15,9,0.3063063063063063
1.0,15,10,0.5945945945945946
1.0,16,8,0.07207207207207207
1.0,16,9,0.21621621621621623
1.0,16,10,0.5225225225225225
1.0,16,11,0.1891891891891892
1.0,17,8,0.05263157894736842
1.0,17,9,0.14912280701754385
1.0,17,10,0.49122807017543857
1.0,17,11,0.30701754385964913
1.0,18,9,0.25742574257425743
1.0,18,10,0.36633663366336633
1.0,18,11,0.21782178217821782
1.0,18,12,0.15841584158415842
1.0,19,8,0.02247191011235955
1.0,19,9,0.12359550561797752
1.0,19,10,0.33707865168539325
1.0,19,11,0.3146067415730337
1.0,19,12,0.20224719101123595
1.0,20,8,0.010869565217391304
1.0,20,9,0.14130434782608695
1.0,20,10,0.2826086956521739
1.0,20,11,0.3804347826086957
1.0,20,12,0.18478260869565216
1.0,21,9,0.036036036036036036
1.0,21,10,0.2882882882882883
1.0,21,11,0.32432432432432434
1.0,21,12,0.35135135135135137
1.0,22,9,0.07368421052631578
1.0,22,10,0.3157894736842105
1.0,22,11,0.3684210526315789
1.0,22,12,0.24210526315789474
1.0,23,9,0.12727272727272726
1.0,23,10,0.2727272727272727
1.0,23,11,0.19090909090909092
1.0,23,12,0.4090909090909091
1.0,24,9,0.11235955056179775
1.0,24,10,0.29213483146067415
1.0,24,11,0.2696629213483146
1.0,24,12,0.3258426966292135
1.0,25,9,0.11818181818181818
1.0,25,10,0.22727272727272727
1.0,25,11,0.2636363636363636
1.0,25,12,0.39090909090909093
1.0,26,9,0.13131313131313133
1.0,26,10,0.26262626262626265
1.0,26,11,0.21212121212121213
1.0,26,12,0.3939393939393939
1.0,27,9,0.14150943396226415
1.0,27,10,0.2358490566037736
1.0,27,11,0.2169811320754717
1.0,27,12,0.4056603773584906
1.0,28,9,0.08653846153846154
1.0,28,10,0.14423076923076922
1.0,28,11,0.3557692307692308
1.0,28,12,0.41346153846153844
1.0,29,9,0.07216494845360824
1.0,29,10,0.28865979381443296
1.0,29,11,0.1958762886597938
1.0,29,12,0.44329896907216493
2.0,1,2,0.2672413793103448
2.0,1,3,0.35344827586206895
2.0,1,4,0.3793103448275862
2.0,2,2,0.030612244897959183
2.0,2,3,0.32653061224489793
2.0,2,4,0.3673469387755102
2.0,2,5,0.2755102040816326
2.0,3,3,0.09411764705882353
2.0,3,4,0.32941176470588235
2.0,3,5,0.36470588235294116
2.0,3,6,0.21176470588235294
2.0,4,4,0.2
2.0,4,5,0.26666666666666666
2.0,4,6,0.49523809523809526
2.0,4,7,0.0380952380952381
2.0,5,4,0.058333333333333334
2.0,5,5,0.3
2.0,5,6,0.3416666666666667
2.0,5,7,0.3
2.0,6,5,0.052083333333333336
2.0,6,6,0.2916666666666667
2.0,6,7,0.3645833333333333
2.0,6,8,0.2916666666666667
2.0,7,6,0.1619047619047619
2.0,7,7,0.3238095238095238
2.0,7,8,0.5142857142857142
2.0,8,6,0.09090909090909091
2.0,8,7,0.2545454545454545
2.0,8,8,0.44545454545454544
2.0,8,9,0.20909090909090908
2.0,9,6,0.04040404040404041
2.0,9,7,0.20202020202020202
2.0,9,8,0.48484848484848486
2.0,9,9,0.2727272727272727
2.0,10,7,0.15315315315315314
2.0,10,8,0.3333333333333333
2.0,10,9,0.5135135135135135
2.0,11,7,0.14736842105263157
2.0,11,8,0.22105263157894736
2.0,11,9,0.631578947368421
2.0,12,7,0.058823529411764705
2.0,12,8,0.22549019607843138
2.0,12,9,0.5098039215686274
2.0,12,10,0.20588235294117646
2.0,13,7,0.05172413793103448
2.0,13,8,0.25862068965517243
2.0,13,9,0.3879310344827586
2.0,13,10,0.3017241379310345
2.0,14,7,0.02912621359223301
2.0,14,8,0.07766990291262135
2.0,14,9,0.32038834951456313
2.0,14,10,0.5728155339805825
2.0,15,8,0.0990990990990991
2.0,15,9,0.3063063063063063
2.0,15,10,0.5945945945945946
2.0,16,8,0.07207207207207207
2.0,16,9,0.21621621621621623
2.0,16,10,0.5225225225225225
2.0,16,11,0.1891891891891892
2.0,17,8,0.05263157894736842
2.0,17,9,0.14912280701754385
2.0,17,10,0.49122807017543857
2.0,17,11,0.30701754385964913
2.0,18,9,0.25742574257425743
2.0,18,10,0.36633663366336633
2.0,18,11,0.21782178217821782
2.0,18,12,0.15841584158415842
2.0,19,8,0.02247191011235955
2.0,19,9,0.12359550561797752
2.0,19,10,0.33707865168539325
2.0,19,11,0.3146067415730337
2.0,19,12,0.20224719101123595
2.0,20,8,0.010869565217391304
2.0,20,9,0.14130434782608695
2.0,20,10,0.2826086956521739
2.0,20,11,0.3804347826086957
2.0,20,12,0.18478260869565216
2.0,21,9,0.036036036036036036
2.0,21,10,0.2882882882882883
2.0,21,11,0.32432432432432434
2.0,21,12,0.35135135135135137
2.0,22,9,0.07368421052631578
2.0,22,10,0.3157894736842105
2.0,22,11,0.3684210526315789
2.0,22,12,0.24210526315789474
2.0,23,9,0.12727272727272726
2.0,23,10,0.2727272727272727
2.0,23,11,0.19090909090909092
2.0,23,12,0.4090909090909091
2.0,24,9,0.11235955056179775
2.0,24,10,0.29213483146067415
2.0,24,11,0.2696629213483146
2.0,24,12,0.3258426966292135
2.0,25,9,0.11818181818181818
2.0,25,10,0.22727272727272727
2.0,25,11,0.2636363636363636
2.0,25,12,0.39090909090909093
2.0,26,9,0.13131313131313133
2.0,26,10,0.26262626262626265
2.0,26,11,0.21212121212121213
2.0,26,12,0.3939393939393939
